Timestamp,MainIncoming_kW,CHWRT,CWRT,CHWST,CWST,CHW Flow,CDW Flow,heat_in,heat_out,lift,chwdt,cwdt,DemoSite Demo avgHum,DemoSite Demo avgTemp,DemoSite Demo Calculated Wet Bulb
2023-05-23T00:00:00+08:00 Singapore,42.54514668782552kW,10.525258255004882°C,28.472578938802084°C,8.96015116373698°C,26.992569986979166°C,37.03183390299479L/s,39.691870880126956L/s,24.066055746946535_RT,47.59378374873354_RT,19.512427775065106Δ°C,1.5651070912679028Δ°C,1.4800089518229171Δ°C,74%RH,28°C,24.328955274900295°C
2023-05-23T00:15:00+08:00 Singapore,46.34864985148112kW,9.629318936665852°C,28.919789632161457°C,7.921629842122396°C,27.350736490885417°C,37.01680908203125L/s,39.72641576131185L/s,24.557304521227245_RT,51.12676719940942_RT,20.99815979003906Δ°C,1.707689094543456Δ°C,1.56905314127604Δ°C,74%RH,28°C,24.328955274900295°C
2023-05-23T00:30:00+08:00 Singapore,29.45850486755371kW,10.144361813863119°C,27.815582275390625°C,9.182142130533855°C,26.93851114908854°C,37.10079727172852L/s,39.72219365437825L/s,14.154337959196035_RT,28.148163041646722_RT,18.63344014485677Δ°C,0.9622196833292644Δ°C,0.8770711263020843Δ°C,74%RH,28°C,24.328955274900295°C
2023-05-23T00:45:00+08:00 Singapore,46.120402018229164kW,10.047283744812011°C,28.84269816080729°C,8.296312459309895°C,27.41950887044271°C,37.04570388793945L/s,39.72065836588542L/s,25.681897187293032_RT,46.490476043918804_RT,20.546385701497396Δ°C,1.750971285502116Δ°C,1.4231892903645829Δ°C,74%RH,28°C,24.328955274900295°C
2023-05-23T01:00:00+08:00 Singapore,32.838269805908205kW,9.770672671000163°C,28.156748453776043°C,8.456605021158854°C,27.328745524088543°C,37.05263875325521L/s,39.70223490397135L/s,17.826263565496586_RT,26.95834486569732_RT,19.70014343261719Δ°C,1.3140676498413093Δ°C,0.8280029296875Δ°C,74%RH,28°C,24.328955274900295°C
2023-05-23T01:15:00+08:00 Singapore,44.98617757161458kW,10.497442690531413°C,28.474886067708333°C,8.876833089192708°C,27.235148111979168°C,37.07960840861003L/s,39.72679901123047L/s,25.20060375299262_RT,40.225485435805034_RT,19.598052978515625Δ°C,1.620609601338705Δ°C,1.239737955729165Δ°C,74.25%RH,28°C,24.36596254732215°C
2023-05-23T01:30:00+08:00 Singapore,42.354271697998044kW,9.37087968190511°C,28.699397786458334°C,7.9787343343098955°C,27.354612223307292°C,36.99947026570638L/s,39.66308441162109L/s,20.5407631350202_RT,43.82533609856681_RT,20.72066345214844Δ°C,1.392145347595215Δ°C,1.3447855631510421Δ°C,74.5%RH,28°C,24.40294041272278°C
2023-05-23T01:45:00+08:00 Singapore,33.047791163126625kW,10.503849601745605°C,27.936104329427085°C,9.210684204101563°C,26.891729736328124°C,37.02104771931966L/s,39.726416015625L/s,18.878924357750016_RT,33.45928765187081_RT,18.72542012532552Δ°C,1.2931653976440423Δ°C,1.0443745930989614Δ°C,74.75%RH,28°C,24.43988918561576°C
2023-05-23T02:00:00+08:00 Singapore,46.13238703409831kW,9.72332369486491°C,28.832340494791666°C,8.101124064127605°C,27.388480631510415°C,37.011800384521486L/s,39.70799128214518L/s,24.03794170744505_RT,47.112336053850754_RT,20.731216430664062Δ°C,1.6221996307373043Δ°C,1.4438598632812507Δ°C,75%RH,28°C,24.476809177650935°C
2023-05-23T02:15:00+08:00 Singapore,28.41703898111979kW,9.921253903706868°C,27.552010091145835°C,8.964321899414063°C,26.836651611328126°C,37.030678304036456L/s,39.696092732747395L/s,13.564508149598375_RT,22.871450724288696_RT,18.587688191731772Δ°C,0.9569320042928045Δ°C,0.7153584798177093Δ°C,75.5%RH,27.75°C,24.31363782957465°C
